"Cruise","Ship","OrderOcc","TowType","TowNumber","SpeciesCode","Count","Lat","Lon","Line","Station","SpeciesName","Year","Month","CalCOFI"
9103,"JD",17,"CB",1,281,1,30.41833,-123.998333,90,120,"Notolychnus valdiviae",1991,"03",1
9103,"JD",25,"CB",1,260,1,32.92,-118.933333,90,45,"Nannobrachium ritteri",1991,"03",1
9103,"JD",35,"CB",1,292,4,33.15667,-120.006667,86.7,55,"Stenobrachius leucopsarus",1991,"03",1
9103,"JD",35,"CB",1,301,2,33.15667,-120.006667,86.7,55,"Triphoturus mexicanus",1991,"03",1
9103,"JD",36,"CB",1,161,1,32.99,-120.35,86.7,60,"Idiacanthus antrostomus",1991,"03",1
9103,"JD",40,"CB",1,260,1,31.655,-123.07,86.7,100,"Nannobrachium ritteri",1991,"03",1
9103,"JD",40,"CB",1,281,1,31.655,-123.07,86.7,100,"Notolychnus valdiviae",1991,"03",1
9103,"JD",43,"CB",1,239,1,32.24167,-123.493333,83.3,100,"Diogenichthys atlanticus",1991,"03",1
9103,"JD",43,"CB",1,260,1,32.24167,-123.493333,83.3,100,"Nannobrachium ritteri",1991,"03",1
9103,"JD",43,"CB",1,281,1,32.24167,-123.493333,83.3,100,"Notolychnus valdiviae",1991,"03",1
