Summary_num,Macgregor_num_SL,new_line,new_station,Line,Station,Sta,Latitude,Longitude,Date,Year,Length (mm),WW (g),DW (g),Lipid (g),ppDDE_ppm_ww,opDDD_ppm_ww,opDDT_ppm_ww,ppDDD_ppm_ww,ppDDT_ppm_ww,tDDT_ppm_ww,A1254,Remove,NOTES,
76,340,66.7,85,67,85,67.85,353406,1243040,590721,1959,47,0.9862,0.2712,0.1362,0.052,0,0,0.014,0.025,0.091,0.071,0,,
190,341,80,90,80,90,80.9,330900,1231315,590815,1959,52,1.5015,0.5717,0.2665,0.142,0.008,0.062,0.028,0.172,0.412,0.033,0,,
435,342,93.3,40,93,40,93.4,323354,1181453,570400,1957,57,1.7809,0.5286,0.2755,0.211,0.031,0.085,0.091,0.346,0.764,0,0,,
132,343,76.7,55,77,55,77.55,345010,1210943,590717,1959,42,0.8062,0.2395,0.1164,0.353,0.013,0.068,0.048,0.164,0.646,0.16,0,,
161,344,80,60,80,60,80.6,340900,1210900,570300,1957,60,1.9499,0.6217,0.317,0.116,0.01,0.065,0.079,0.117,0.387,0,0,,
83,345,70,52,70,52,70.52,360830,1215000,590719,1959,53,1.543,0.4712,0.219,0.106,0.004,0.003,0.014,0.057,0.184,0.105,0,,
111,346,73.3,51,73,51,73.51,353944,1212145,571117,1957,59,1.7989,0.5841,0.3032,0.085,0,0.017,0.034,0.081,0.217,0,0,,
175,347,80,70,80,70,80.7,334859,1215035,570300,1957,48,0.8905,0.274,0.1382,0.121,0,0.017,0.039,0.118,0.295,0,0,,
3,348,40,45,40,45,40.45,413300,1250000,560500,1956,50,1.0211,0.3652,0.1506,0,0,0,0,0,0,0,0,,
2,349,40,40,40,40,40.4,414312,1243748,560500,1956,53,1.501,0.4881,0.2542,0,0,0,0,0,0,0,0,,
470,350,100,30,100,30,100.3,314109,1164636,560100,1956,52,1.3801,0.4301,0.2235,0.071,0,0.021,0.045,0.11,0.247,0,0,,
136,351,76.7,57,77,57,77.57,345000,1212130,620316,1962,45,0.9068,0.2861,0.142,0.121,0,0.012,0.016,0.101,0.25,0.137,0,,
167,353,80,65,80,65,80.65,335900,1212948,610400,1961,49,1.0046,0.342,0.1646,0.099,0,0.014,0.017,0.085,0.215,0.104,0,,
460,353,96.7,50,97,50,97.5,313219,1182800,610425,1961,34,0.344,0.1036,0.0449,0.244,0,0.037,0.053,0.197,0.531,0,0,,
61,354,63.3,60,63,60,63.6,370540,1231360,630119,1963,37.5,0.4298,0.1584,0.0468,0.092,0,0,0.001,0.02,0.113,0.337,0,,
413,355,93.3,28,93,28,93.28,325754,1172541,630203,1963,39,0.5004,0.1542,0.0714,0.399,0,0.097,0.072,0.26,0.828,0.128,0,,
177,356,80,70,80,70,80.7,334859,1215035,620114,1962,38,0.4749,0.1339,0.0605,0.149,0,0.018,0.032,0.1,0.299,0.285,0,,
49,357,60,70,60,70,60.7,371650,1241956,611018,1961,34.5,0.3363,0.1002,0.0474,0.126,0,0.024,0.032,0.117,0.299,0.268,0,,
134,358,76.7,55,77,55,77.55,345010,1210943,620113,1962,37,0.3471,0.0981,0.0384,0.223,0,0,0.017,0.058,0.298,1.305,0,,
108,359,70,80,70,80,70.8,351255,1234642,630117,1963,33,0.2962,0.1001,0.0348,0.097,0,0.021,0.022,0.057,0.197,0.226,0,,
60,360,63.3,60,63,60,63.6,370540,1231356,600925,1960,27,0.1802,0.043,0.0164,0.147,0,0.011,0.044,0.133,0.335,0.197,0,,
91,361,70,55,70,55,70.55,360255,1220037,600924,1960,31,0.2674,0.067,0.0288,0.388,0,0.044,0.071,0.206,0.709,0.233,0,,
166,362,80,65,80,65,80.65,335900,1212948,600922,1960,21,0.2117,0.0341,0.0048,0.045,0,0.005,0.003,0.051,0.104,0.061,0,"Three specimens - 20, 21, 22 mm",
59,363,63.3,60,63,60,63.6,370540,1231356,600211,1960,30,0.2197,0.0694,0.0304,0.119,0,0.01,0.021,0.12,0.27,0.32,0,,
95,364,70,60,70,60,70.6,335255,1222156,600924,1960,29,0.2108,0.0564,0.025,0.5,0,0,0.063,0.17,0.733,1.163,0,,
133,365,76.7,55,77,55,77.55,345010,1210943,601010,1960,26,0.1399,0.0263,0.0087,0.307,0,0.022,0.024,0.084,0.437,0.258,0,,
252,366,85,55,85,55,85.55,332702,1201227,530210,1953,35,0.3855,0.1239,0.0508,0.082,0.026,0.083,0.126,0.229,0.546,0.423,0,,
84,367,70,53,70,53,70.53,360655,1215205,600925,1960,28,0.2036,0.0469,0.0191,0.333,0,0.033,0.043,0.224,0.633,0.282,0,,
81,368,70,51,70,51,70.51,361055,1214333,600119,1960,39,0.5005,0.1479,0.0696,0.268,0.013,0.069,0.051,0.232,0.633,0,0,,
